sample_names,mean,median,sd,quantile0.025,quantile0.975
2002078154,2,2,0,2,2
2301046215,2,2,0,2,2
1707091732,2,2,0,2,2
1809104700,2,2,0,2,2
1709054181,2,2,0,2,2
1805022860,2,2,0,2,2
2211008378,2,2,0,2,2
1608043279,2,2,0,2,2
2001063087,2,2,0.4303,1,2
2102043996,2,2,0.05472,2,2
2103069281,2,2,0,2,2
1909063992,2,2,0,2,2
1610098023,2,2,0,2,2
2002006364,2,2,0,2,2
1606096635,2,2,0,2,2
1907084387,2,2,0,2,2
1708017376,2,2,0.19369,2,3
2005077645,2,2,0,2,2
1709023394,2,2,0,2,2
2208055677,2,2,0,2,2
1805023159,2,2,0,2,2
1804030520,2,2,0,2,2
1612091922,2,2,0,2,2
1609014567,2,2,0.25015,1,2
1810003100,2,2,0,2,2
1708062421,2,2,0,2,2
1810067994,2,2,0,2,2
1605029082,2,2,0,2,2
1805074665,2,2,0.47625,1,2
1707058840,2,2,0,2,2
1706092223,2,2,0,2,2
1708007198,2,2,0,2,2
1608057845,2,2,0,2,2
1705059443,2,2,0,2,2
1608073554,2,2,0,2,2
1604090567,2,2,0,2,2
2207094725,2,2,0,2,2
2209007013,2,2,0,2,2
2010067743,2,2,0,2,2
1606080827,2,2,0,2,2
1802075815,2,2,0,2,2
1611018484,2,2,0.47117,1,2
1608043317,2,2,0,2,2
2206102954,2,2,0,2,2
1707042055,2,2,0,2,2
1810049292,2,2,0,2,2
1810035220,2,2,0,2,2
1811114208,2,2,0,2,2
2209006823,2,2,0,2,2
1709034086,2,2,0,2,2
1601067766,2,2,0,2,2
1611021331,2,2,0,2,2
1610097307,2,2,0,2,2
1809041183,2,2,0,2,2
1810090801,2,2,0,2,2
2210065209,2,2,0,2,2
1806049727,2,2,0,2,2
1804076002,2,2,0.0447,2,2
1711006461,2,2,0,2,2
2206090261,2,2,0,2,2
1609027184,2,2,0,2,2
2208091732,2,2,0,2,2
2210048117,2,2,0,2,2
1708017366,2,2,0,2,2
1910035680,2,2,0,2,2
1701007571,2,2,0.0447,2,2
1606009746,2,2,0,2,2
1908037055,2,2,0,2,2
1709042291,2,2,0,2,2
1608061539,2,2,0,2,2
2211025702,2,2,0,2,2
1909099497,2,2,0.40095,1,2
1903003585,2,2,0,2,2
2209068728,2,2,0,2,2
1702077443,2,2,0,2,2
1809077386,2,2,0.25862,2,3
2208051954,2,2,0,2,2
1807109542,2,2,0,2,2
2012042243,2,2,0,2,2
1708037612,2,2,0,2,2
2011019496,2,2,0,2,2
2302052285,2,2,0,2,2
1801048301,2,2,0,2,2
2208080248,2,2,0,2,2
2011024187,2,2,0,2,2
2208011016,2,2,0,2,2
2208059011,2,2,0,2,2
1708020072,2,2,0,2,2
1808045318,2,2,0,2,2
2207048149,2,2,0,2,2
1809045526,2,2,0,2,2
1610021636,2,2,0,2,2
2205013641,2,2,0,2,2
2010086643,2,2,0,2,2
